sector,publishedDate,sentiment
Basic Materials,11/11/2021,0
Basic Materials,17/11/2021,0
Basic Materials,18/11/2021,-0.865521908
Basic Materials,19/11/2021,-0.923319399
Basic Materials,20/11/2021,-0.922290087
Basic Materials,22/11/2021,0.236729458
Basic Materials,24/11/2021,0.738874435
Basic Materials,29/11/2021,0.437498242
Basic Materials,30/11/2021,0.283816179
Basic Materials,01/12/2021,0.010771394
Basic Materials,02/12/2021,-0.710026011
Basic Materials,03/12/2021,-0.924388885
Basic Materials,06/12/2021,0.082306117
Basic Materials,14/12/2021,0.927822769
Basic Materials,15/12/2021,-0.299530596
Basic Materials,17/12/2021,-0.847662389
Basic Materials,26/12/2021,-0.004072825
Basic Materials,05/01/2022,0
Basic Materials,07/01/2022,0
Basic Materials,21/01/2022,-0.942597002
Basic Materials,31/01/2022,0.256372363
Basic Materials,05/02/2022,0.464140192
Basic Materials,10/02/2022,-0.31899635
Basic Materials,11/02/2022,0.419368327
Basic Materials,15/02/2022,0.458601087
Basic Materials,18/02/2022,-0.459220082
Basic Materials,24/02/2022,-0.777760357
Basic Materials,01/03/2022,-0.47555846
Basic Materials,09/03/2022,0.443477243
Basic Materials,10/03/2022,0.455979884
Basic Materials,12/03/2022,-0.002136737
Basic Materials,16/03/2022,-0.398652613
Basic Materials,18/03/2022,-0.953273728
Basic Materials,22/03/2022,0.61293143
Basic Materials,23/03/2022,0
Basic Materials,26/03/2022,0
Basic Materials,02/05/2022,0.475456387
Basic Materials,03/05/2022,-0.622569829
Basic Materials,05/05/2022,0.860306472
Basic Materials,11/05/2022,-0.353670835
Basic Materials,13/05/2022,-0.660533011
Basic Materials,17/05/2022,0
Basic Materials,02/05/2022,0.475456387
Basic Materials,03/05/2022,-0.622569919
Basic Materials,05/05/2022,0.860306293
Basic Materials,11/05/2022,-0.353670748
Basic Materials,13/05/2022,-0.660532922
Basic Materials,17/05/2022,0
Basic Materials,01/06/2022,0.419587255
Basic Materials,06/06/2022,-0.472406805
Basic Materials,07/06/2022,0.463846197
Basic Materials,10/06/2022,-0.720162153
Basic Materials,13/06/2022,-0.362004459
Basic Materials,16/06/2022,0.389710724
Basic Materials,17/06/2022,0.808742046
Basic Materials,19/06/2022,-0.412959963
Basic Materials,23/06/2022,0.797903806
Basic Materials,28/06/2022,-0.063805481
Basic Materials,07/07/2022,0.441898286
Basic Materials,09/07/2022,-0.261017799
Basic Materials,11/07/2022,0
Basic Materials,15/07/2022,0
Basic Materials,21/07/2022,-0.877095401
Basic Materials,26/07/2022,-0.725169882
Basic Materials,29/07/2022,0.436536163
